id,latitude,longitude,status,place_name,address,description,radius,allow_parking,allow_deployment,current_occupancy,vehicle_types,min_deployment_cap,min_reason,max_deployment_cap,max_parking_cap,threshold,pin_type,image_url,downstream_revenue
URTYKPI2EIQSW,35.737876,139.707905,active,池袋4丁目ポート,東京都豊島区池袋4-8-3,"",15.0,true,true,1,scooter,0,"",1,2,1,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/UPXKVAJZIAD4EVQK,0.2049
NIIEXM3CILJMC,35.653433,139.707141,active,HOTEL GRAPHY 渋谷,東京都渋谷区東1-29-3,"",15.0,true,true,1,scooter,0,"",1,2,1,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/E7W4P7VB5DM45X4F,1.452849
6URJVTKHTKVXG,35.733934,139.718622,active,東池袋2丁目ポート,東京都豊島区東池袋2-59-3,入り口すぐに1台と、奥エントランス前に1台ずつスペースがあります。,15.0,true,true,2,scooter,0,"",1,2,2,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/7IIWMK6DNNAGVYFK,1.186362
XB2NYV3DXINBC,35.649132,139.704847,active,渋谷SGビル,東京都渋谷区恵比寿西2-19-9,地下駐車場内の1室がポートになっております。,20.0,true,true,4,scooter,10,gr,10,29,27,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/CR4GJTSP4THBM3YL,0.236332
NMVVCGHISVCXY,35.654791,139.708002,active,常盤松72ビル,東京都渋谷区東1-24-8,"",20.0,true,true,5,scooter,1,golden,4,7,7,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/SX6HF76OUIZUKFAN,1.864932
B7NUGFI2AG7JR,35.733664,139.698359,active,クラスタービル2,東京都豊島区要町1-10-3,自動販売機横の門から入ったところに11台分のスペースがあります。,15.0,true,true,4,scooter,0,"",6,11,9,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/7PYRWCA7KSXNJHVC,0.0
VFFV6A62V4G7U,35.698075,139.697279,active,シンフォニー北新宿の杜,東京都新宿区北新宿1-1-1,マンション入ってすぐ右側、道路沿い自動販売機の裏にあります。,40.0,true,true,5,scooter,7,gr,7,14,12,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/BJB3LUTJW57MKCSE,2.476958
TZM7P2YLPITLC,35.727446,139.690519,active,レナジア長崎,東京都豊島区長崎2-4-13,"",15.0,true,true,1,scooter,0,"",1,2,1,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/UXUM4WRZ3G57OWAR,0.0
43Z2GYUACSFKE,35.736621,139.708982,active,アポロ池袋ビル,東京都豊島区池袋4-1-7,自動販売機裏、駐輪場手間にあります。,15.0,true,true,2,scooter,0,"",2,3,3,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/CBM63H42DZPEQIMU,0.0
UM66SFBNPQQCZ,35.699219,139.704464,active,クリエイティブ新宿,東京都新宿区大久保1-11-21,"",20.0,true,true,0,scooter,0,"",2,3,3,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/2EJEVPFJRWIDJZBD,4.374575
UORRSP6YGW4O3,35.68567,139.685806,active,センチュリーシティ,東京都新宿区西新宿4-39-26,2台分と1台分にわかれています。,15.0,true,true,3,scooter,0,"",2,4,2,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/R4SPTJRBGNETAHGM,0.452651
2ORH6LADORY7Z,35.644084,139.662996,active,若林1丁目ポート,東京都世田谷区若林1-8-12,"",15.0,true,true,1,scooter,0,"",1,2,1,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/PU35CR65DT5YZABB,0.0
6TRUWZM5BYHKO,35.682354,139.680611,active,本町6丁目駐輪場,東京都渋谷区本町6-1-21,"",15.0,true,true,7,scooter,0,"",4,7,6,standard,https://limebike-web-public-assets.s3-us-west-1.amazonaws.com/placement_pins/7HF4RGGJQ3RBYBL7,0.394896
7VPDMSZJMHGOK,35.636336,139.692217,active,祐天寺2丁目ポート1,東京都目黒区祐天寺2-10-7,"",15.0,true,true,4,scooter,0,"",2,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/T2NZ7DGHFJ34RGHV,0.683153
